Name	Positions	NextGame	Salary	Min	PTs	Reb	Ast	Stl	Blk	DblDbl	TriDbl	TO	Value	AvgPts	ProjPts	IngameProj	ActPts
Cristiano Felicio	(PF/C)	    10/24 @ CLE 	$3,300	16.87	5.34	4.35	0.85	0.45	0.32	2%	0%	0.87	4.01	8.75	13.22	-	0.00
Thabo Sefolosha	(SG/SF)	 10/24 @ LAC 	$3,100	19.69	5.22	2.92	1.25	0.80	0.23	1%	0%	0.62	4.13	16.58	12.79	-	0.00
Bismack Biyombo	(PF/C)	  10/24 vs BKN    	$3,700	12.25	4.43	4.15	0.61	0.33	0.63	2%	0%	0.74	3.28	12.92	12.13	-	0.00
Ron Baker	(PG/SG)	   10/24 @ BOS 	$3,100	17.25	4.20	1.91	2.67	0.69	0.13	1%	0%	1.15	3.84	14.75	11.89	-	0.00
Shelvin Mack	(PG)	   10/24 vs BKN    	$3,000	13.10	5.20	2.00	1.90	0.55	0.10	1%	0%	0.84	3.89	13.38	11.66	-	0.00
Jose Calderon	(PG)	  10/24 vs CHI    	$3,000	15.15	4.43	1.90	2.57	0.43	0.10	1%	0%	0.83	3.87	3.25	11.61	-	0.00
Gorgui Dieng	(PF/C)	 10/24 vs IND    	$3,600	13.74	3.60	3.61	0.90	0.51	0.64	1%	0%	0.56	3.22	10.75	11.59	-	0.00
Willie Reed	(C)	 10/24 vs UTA    	$3,000	13.70	4.44	4.06	0.26	0.31	0.48	2%	0%	0.51	3.75	16.38	11.26	-	0.00
Alec Burks	(PG/SG)	  10/24 @ LAC 	$3,400	13.29	6.32	2.40	0.63	0.41	0.07	1%	0%	0.63	3.30	13.83	11.21	-	0.00
David Nwaba	(PG/SG)	 10/24 @ CLE 	$3,000	14.89	5.36	2.53	0.83	0.45	0.20	1%	0%	0.71	3.59	13.13	10.77	-	0.00
Donovan Mitchell	(PG/SG)	    10/24 @ LAC 	$3,800	13.78	5.25	1.03	2.03	0.47	0.21	1%	0%	0.86	2.83	13.92	10.75	-	0.00
Iman Shumpert	(PG/SG)	   10/24 vs CHI    	$3,700	14.64	4.63	2.24	0.98	0.55	0.30	1%	0%	0.56	2.86	16.58	10.57	-	0.00
Jonathan Isaac	(SF/PF)	  10/24 vs BKN    	$3,700	10.08	4.22	2.72	0.59	0.43	0.45	1%	0%	0.58	2.73	17.25	10.09	-	0.00
Nemanja Bjelica	(SF/PF)	 10/24 vs IND    	$3,100	11.40	3.43	2.82	0.82	0.39	0.40	1%	0%	0.46	3.15	11.92	9.78	-	0.00
Kyle Korver	(SG/SF)	 10/24 vs CHI    	$3,200	13.13	5.39	1.54	0.67	0.30	0.16	0%	0%	0.29	3.04	10.67	9.72	-	0.00
Joe Harris	(SG/SF)	  10/24 @ ORL 	$3,400	13.93	4.83	1.95	0.72	0.36	0.13	1%	0%	0.54	2.82	16.00	9.58	-	0.00
Quincy Acy	(PF/C)	   10/24 @ ORL 	$3,000	10.94	4.23	2.26	0.52	0.38	0.22	0%	0%	0.52	3.05	9.17	9.15	-	0.00
Shabazz Muhammad	(SG/SF)	    10/24 vs IND    	$3,000	10.83	5.27	1.88	0.36	0.26	0.21	1%	0%	0.44	3.01	4.83	9.03	-	0.00
Tyus Jones	(PG/SG)	  10/24 vs IND    	$3,000	11.79	2.32	1.33	2.23	0.72	0.19	1%	0%	0.59	3.00	6.58	9.01	-	0.00
Mario Hezonja	(SG)	  10/24 vs BKN    	$3,400	11.09	3.82	1.84	0.88	0.44	0.18	1%	0%	0.50	2.56	15.63	8.71	-	0.00
Tony Allen	(SG/SF)	  10/24 @ POR 	$3,200	11.40	3.48	2.35	0.53	0.55	0.26	1%	0%	0.49	2.69	6.50	8.62	-	0.00
Darius Miller	(SF)	  10/24 @ POR 	$3,000	13.23	3.95	1.68	0.64	0.44	0.23	0%	0%	0.47	2.80	6.50	8.40	-	0.00
Sam Dekker	(SF/PF)	  10/24 vs UTA    	$3,000	12.64	3.62	2.25	0.60	0.31	0.12	1%	0%	0.20	2.78	7.13	8.34	-	0.00
Shane Larkin	(PG)	   10/24 vs NY 	$3,300	8.44	3.29	1.02	1.68	0.45	0.05	1%	0%	0.58	2.40	10.13	7.92	-	0.00
Damien Wilkins	(SG/SF)	  10/24 @ MIN 	$3,000	10.96	3.47	1.57	0.92	0.44	0.15	0%	0%	0.56	2.63	3.67	7.88	-	0.00
Michael Beasley	(SF/PF)	 10/24 @ BOS 	$3,800	6.12	3.22	1.51	0.34	0.22	0.22	0%	0%	0.46	1.67	8.00	6.35	-	0.00
Marreese Speights	(PF/C)	    10/24 vs BKN    	$3,000	5.04	2.55	1.67	0.33	0.22	0.23	0%	0%	0.30	2.03	11.38	6.08	-	0.00
Guerschon Yabusele	(PF/C)	   10/24 vs NY 	$3,000	5.90	2.59	1.68	0.30	0.24	0.22	1%	0%	0.33	1.99	3.75	5.98	-	0.00
Lance Thomas	(SF/PF)	    10/24 @ BOS 	$3,000	9.82	2.54	1.72	0.47	0.22	0.05	0%	0%	0.35	1.98	3.13	5.94	-	0.00
Quincy Pondexter	(SG/SF)	    10/24 @ CLE 	$3,000	7.94	2.96	1.03	0.54	0.35	0.01	0%	0%	0.42	1.92	14.00	5.76	-	0.00
Caleb Swanigan	(PF)	 10/24 vs NO 	$4,000	6.49	2.22	1.70	0.43	0.25	0.18	1%	0%	0.39	1.43	10.25	5.73	-	0.00
Daniel Theis	(PF/C)	 10/24 vs NY 	$3,000	5.83	2.24	1.18	0.52	0.25	0.14	0%	0%	0.29	1.75	7.38	5.25	-	0.00
Raul Neto	(PG)	  10/24 @ LAC 	$3,000	7.88	2.34	0.64	0.74	0.41	0.12	0%	0%	0.38	1.75	7.75	5.24	-	0.00
Semi Ojeleye	(SF/PF)	    10/24 vs NY 	$3,000	5.40	1.93	1.39	0.26	0.22	0.17	0%	0%	0.24	1.60	2.13	4.80	-	0.00
Shabazz Napier	(PG/SG)	  10/24 vs NO 	$3,400	4.49	1.96	0.83	0.70	0.28	0.00	0%	0%	0.30	1.36	9.67	4.63	-	0.00
Abdel Nader	(PF)	    10/24 vs NY 	$3,000	4.83	1.73	1.30	0.27	0.21	0.16	0%	0%	0.21	1.48	4.00	4.44	-	0.00
Montrezl Harrell	(PF/C)	 10/24 vs UTA    	$3,000	4.93	1.75	1.15	0.32	0.14	0.15	1%	0%	0.25	1.38	6.75	4.13	-	0.00
Channing Frye	(PF/C)	    10/24 vs CHI    	$3,100	3.53	1.47	0.96	0.34	0.15	0.14	0%	0%	0.12	1.25	6.50	3.89	-	0.00
Arron Afflalo	(SG/SF)	   10/24 vs BKN    	$3,000	5.04	1.55	0.67	0.43	0.21	0.09	0%	0%	0.20	1.22	6.50	3.66	-	0.00
